,Query,Target,Stance
25,Considering moving yo antarctica as that's the only way I could become more # chill # semst ,climate change is a real concern,2
26,"@ sirfaminsulting, thinking you can make a switch like that. if it was written not for us, it was not for us # semst ",feminist movement,2
27,". @ tonyabbottmhr still boasts on the international stage of eliminating the carbon price, which he calls a ""toxic tax"" # auspol # semst ",climate change is a real concern,2
28,@ jimlibertarian @ peddoc63 @ callistoy @ mayusa @ c5hardtop1999 @ surfermom77 is right! # semst ,hillary clinton,0
29,@ thehill # mamahillary is making the case here & just exclusive how to deal with complex social issues. # cnn # bbc # mamaclinton # semst ,hillary clinton,1
30,"@ abbeysaurusrex _ c) the hell was that video? d) the guy spelled ""break"" g) if megalodon is alive maybe it's a she brewer # semst ",feminist movement,2
31,"# 4thjuly 1776 saw independence from the depression of england. on # july4th 2015, free yourself from the depression of # religion! # semst ",atheism,0
32,i will be there when your little tree has run out of smell. # thatchampion # semst ,hillary clinton,2
33,Dukes of Hazzard has been on TV for 36 years but you weren't let go until # liberals told you to be. # unitedblue # semst ,hillary clinton,0
34,"How can I continue to say ""God knows what"" when this country continues to approve and glorify things in opposition to it? # ssm # semst ",legalization of abortion,0
35,the biggest dumps of bad info is b4 a holiday weekend. what comes out of wh and state dept today? # hillaryemails # liarliar # semst ,hillary clinton,0
36,"my birthday is on jully 24th, if anyone needs a gift idea # chillaryclinton # semst ",hillary clinton,0
37,@ nacla @ brasilwire sos obama who?? @ barackobama??: -)) are you joking? # stopdilma # stopforodesaopulo # semst ,hillary clinton,2
38,It's not just the # matildas who get less than their male partners... it's all women's issues - and in fact all women # semst ,feminist movement,1
39,Great to see the singer turned activist @ charlotchurch on stage to interview @ pussyriot # stonbury # charlotchurch # semst ,feminist movement,1
40,you don't run a thing till you run it to the king. # semst ,atheism,0
41,@ vacanti @ samglover Maybe a woman should be president. # semst ,hillary clinton,1
42,( Psalm 51: 12) # wordoflife # semst ,atheism,0
43,"Good morning patriots, let's keep rooting for this great nation and # unborn on this great day God gave us!! # ccot # semst ",legalization of abortion,0
44,what is the difference between a baby and a union? no one cries when you chop up the baby. hahahaha! love dead babies! # babies # semst ,legalization of abortion,1
45,im a strength independent black woman who don't need no daddy # lol # girlpower # semst ,feminist movement,1
46,when did co2 become a dangerous pollutant that must be curtailed? what do you exhaise again? # iwantanswers # semst ,climate change is a real concern,0
47,@ bucksexton of course we want the feds to puff pass! # teambuck # warondrugs # semst ,legalization of abortion,2
48,"is a 7-figure holder in the financial industry that he protected from prosecution, and yet? why do libertarians like the 1%? # semst ",hillary clinton,0
49,All we need is to go back to our roots and get closer to nature. # simpllife # liveeasy # foodforall # goslow # semst ,atheism,2
50,"Nothing says ""i'm every woman"" like 10 democratic staffs in a machine shop in # iowa right @ hillaryclinton? # notreadyforhillary # semst ",hillary clinton,0
51,i will say it again: only a low self esteem person will be repressed by bikinis / models ads. get help # semst ,feminist movement,0
52,"@ mit5 _ anders, to paraphrase, the more the disk is devoid of data, the more its data will expand to fill the space. # 1960 # semst ",feminist movement,2
53,"@ hillaryfornv @ misslynnetteh 2 hours left, let's pay $5, nevada! # raisethwpotus # semst ",hillary clinton,0
54,@ foundersgirl @ artist _ angie i want the first female to be competent. # semst ,hillary clinton,0
55,"took god, discipline & tabok out, made ^ airtight & filled houses w / ^ co2 cuz of energy & climate lies. evil & energy use sused. # semst ",legalization of abortion,2
56,"@ marlamccarthy: if you know that God's hand is in everything, you can leave everything in God's hands. # peace # rest # family ",atheism,0
57,I'm just happy he says @ gop to wise re: # semst ,climate change is a real concern,2
58,Brettgarrot: brettgarrot: glblwarmingnews and the tooth fairy might be causing kids to lose their teeth! # carbontaxscam # chemtrails # semst ,climate change is a real concern,0
59,you stick in the postcode on where you want to go and god will set the satnav on how to get there @ davegilpin @ hopecity # destination ,atheism,0
60,There's nothing more inspiring than the drums at the beginning of # runthegirls from @ beyonce... it's like the rise of # semst ,feminist movement,0
61,because all human beings are created by nature equally. ,feminist movement,1
62,# man's worth is not determined by his size. # prolifeyouth # semst ,legalization of abortion,0
63,"Selfish men everywhere: ""# birthcontrolhelpedme is cheating on my wife!"" but she still found out and our marriage was destroyed. # semst ",legalization of abortion,2
64,"There's someone once told me - girls have to be quiet -, i've told him: really?. and i've never been quiet since then. # semst ",feminist movement,0
65,"# save your people, Master, and defile those who are young. Be their # shepherd and take care of them forever. (Psalm 28: 9) # seed ",atheism,0
66,"@ stevenoy @ gm _ gxan my wife had an abortion when she was young, she regrets it to this day # semst ",legalization of abortion,0
67,"@ thereadclub someone who wears shoes knows where it hurts, but I'm for life. # thereadclub # semst ",legalization of abortion,0
68,o you're used to the @ ap calling for your approval before running a story @ davidaxelrod? # likehillary # hillaryemails # semst ,hillary clinton,0
69,@ voyotcom # wgn # wgntv - now mentions romney? # hillary care = # Obamacare -- now a public option for all # semst ,hillary clinton,2
70,"i bet as a special, man farms more today due to: soda, carbonated beverage & fast food than any other recorded era before. # semst ",climate change is a real concern,2
71,"@ rupertmurt - feel! i'll bin this one & upload a newer mix in a few days see which version you like better, re's d # peace # semst ",climate change is a real concern,2
72,"# singerman2000: the government has increased the necessary size, reach, and penetration into the lives of its citizens. # armenia... # semst ",legalization of abortion,2
73,i know why he has to do it. given the audience and the events. but the god talk in president obama's speech jars with me. a lot. # semst ,atheism,1
74,Apparently putting cocaine in someone's buttock and then waiting for it to fall in your face is the wrong way to go high. # semst ,hillary clinton,2
75,i guess wanting and trying to make this world a better place for everyone makes me ugly. # feminist # semst ,feminist movement,1
76,"i am having a really tough time seeing any leaders running for potus, quess i will have to wait and see what happens. # semst ",hillary clinton,2
77,if it's getting old maybe you should stop calling embryos & fetuses babies. # semst ,legalization of abortion,1
78,@ womenspoonhub @ alessandrocynic the fact that you asked someone you blocked if they were happy now..... # spankafeminist # semst ,feminist movement,0
79,"i like how rape is one of the most unreported crimes, but the unreported incidents are usually female raping males. but hey. # semst ",feminist movement,0
80,I hate when girls turn into bitches because a guy tells them they look good without make-up... is that a compliment?!?!?? # semst ,feminist movement,0
81,you will not # silence my message you will not mock my # God you will stop # killing my # generation.youth # semst ,legalization of abortion,0
82,I'm not sure my schedules can stand this much ticking. @ mt8 _ 9 @ prettysing # semst ,feminist movement,2
83,There is an inverse correlation between women's right to choose and crime rates # femalerights ,legalization of abortion,1
84,It was a great meeting today with the two guys I know reading this tweet... welcome to the team! ,legalization of abortion,2
85,Bill Clinton just wants to be the first dude to be president and hit one. # semst ,hillary clinton,2
86,why are we all here? because all of our mother granted us the gift of life and did not abort us. all life has value. # prolifeyouth # semst ,legalization of abortion,0
87,@ monstermarcia <unk>dos to these young people! # onlyoneearth # semst ,climate change is a real concern,1
88,@ randfill @ hillaryclinton you could never dream of being as smart as she is # semst ,hillary clinton,1
89,@ hillaryclinton you have my support. (now lets see how many people don't follow me.) # 2016election # semst ,hillary clinton,0
90,@ nzstuffbusiness time to change the government! # cking # c02 # methane # cancer # health # earthquake # water # semst ,climate change is a real concern,1
91,"@ jenny _ nie @ _ _ heyhee @ cooimemegirl ""equality"": a term used by feminists to cover up over-make-up. # semst ",feminist movement,0
92,hey # texasstate # bobcats i hope y'all are ready for # marcorul # 2016 # texasstate # newicancentury # texas # tcot # semst ,hillary clinton,2
93,"lol @ hillaryclinton ""woman of the people"" ha! # besttheyvegot # slushfund # uraniumdeal # sniperfire # semst ",hillary clinton,0
94,i believe that every woman should have their own rights!! # semst ,feminist movement,1
95,"i have been crucified with Frest & i longer not live, but Frest lives in me. -galatians 2: 20 # holybible # teamjesus # semst ",atheism,0
96,@ staacy _ weedy @ levithekid2 @ alexaa _ mccune that is true i can't compete with you # semst ,feminist movement,2
97,the time for gender equality is now! # semst ,feminist movement,1
98,happy to hear # scotus has blocked the closure of 10 abortion clinics in tx until an appeal is heard # safelegalrare # thinkprogress # semst ,legalization of abortion,1
99,Today makes me really happy because we are one step closer to full equality in the world. ,atheism,2
100,"Macro problems face us all, but people focus on micro problems because they are within our immediate power to fix # semst ",climate change is a real concern,1
101,i stand for: # equality # fairness # humanity # logic # rational thought # freedomofspeech i care i am an # semst ,atheism,2
102,@ jeff _ nichols _ 82 @ hillaryforia # freedom _ justice _ equality _ education for innovation and development to make # happy _ life in utopia # semst ,hillary clinton,1
103,@ 70kha @ scroll _ in we can't judge and advise on issues like hijab as if they belonged to subcultures. # semst ,feminist movement,2
104,"We love not finding the perfect person, but learning to see the perfect person. # love # semst ",atheism,2
105,because the United States is one of the only countries that does not provide paid maternity leave # semst ,feminist movement,1
106,if this heat is killing me i don't wanna know what the poor polar bears are going through right now # semst ,climate change is a real concern,1
107,Did u know th # scotus is 2 decide if # coal plants can keep # emitting unlimited # mutury 2 r atmosphere? # potus # justes # semst ,climate change is a real concern,1
108,i got it! i got it! a hillary description! she's managed to stay out of prison enough a 30-year crime spread. # tcot # ocra # semst ,hillary clinton,0
109, # leftest # hippop # domecrats won't vote for # finelady # michellmann but will vote for # emailscandal # benghazi # killary # semst ,hillary clinton,0
110,So can unborn children now have rights? # semst ,legalization of abortion,0
111,love the respect feminists give to those that don't want to be a feminist (note the sarcasm) # idontneedfeminism # semst ,feminist movement,0
112,@ stuart1927 @ goodcounselnet thanks the kindness of politicians saw sense and recognized women's rights over their own bodies. # semst ,legalization of abortion,1
113,Religious leaders are like political leaders - they say what they think people want to hear. # freethinker # semst ,atheism,1
114,"Creationist ok, you clearly don't know what the word god is! feminist ok, you obviously don't know what feminism is! # semst ",feminist movement,0
115,u missouri at kc got sea chils too much. chels could come w / mom - no xtra charge. @ hillaryclinton # semst ,hillary clinton,0
116,@ norsu2 secret clinton dob? gee what a surprise! # semst ,hillary clinton,0
117,@ carol _ holman @ heifer109 i always said that democrats would tax the weather if they could # semst ,climate change is a real concern,2
118,"@ ladysfarm love is only love if it's on her termam. keep your faith in Jesus, he is your animal in this storm. rews 6: 19 # semst ",legalization of abortion,2
119,You know you're in a patriarchy when women are accused of prostitution # whatisjustice # equality # semst ,feminist movement,1
120,God is not as interested in what you do as he is in who you become. # bible # semblance ,atheism,0
121,i take it personally when people call my dog a he. toni is a girls name too # semst ,feminist movement,1
122,"@ gerfpoken2 he made a sinless mistake, she deliberately broke many laws and still lies about it. # semst ",hillary clinton,0
123,"@ kin2souls @ sunbeltgirl @ brichat ""@ hillaryclinton can't even manage @ billclinton and she wants to be @ potus"" # lol # semst ",hillary clinton,0
124,@ j6fras same but i got hatted for it. # progod # progun # semst ,legalization of abortion,2
125,God forbid you ever have to walk a mile in her shoes. Then you really might know what it is to have to choose. # semst ,legalization of abortion,1
126,@ fxckyoustagram I have no reason to need 1st generation feminism. ,feminist movement,0
127,@ fingilgun and the sad part is they dont they hate people with their own thought experiences and worse of all voice # semst ,feminist movement,0
128,Climate change?! explain the definition of climate change.. # fraud # ccot # liberty # cruzcrew # semst ,climate change is a real concern,0
129,Congratulations @ hillaryclinton on entering the 2016 race for president! you have the support of all the world! # semst ,hillary clinton,1
130,@ moma's seaclinton's got it going on! # potus # mom # semst ,hillary clinton,1
131,"@ catniptwoshoes @ hoursofchaos @ bindelj if men could get pregnant, things would change pretty quickly! # backoff # semst ",legalization of abortion,1
132,@ antgerard86 is it. Belief means believing in something without evidence and it can justify anything. # scary # semst ,atheism,1
133,"@ curlychloe _ frest, he can't be equal anymore so... now it's a joke! # spankafeminist # dontmancriminal # feminist # semst ",feminist movement,0
134,@ ba68scgal the guy w / the # benghazi sign has gallop # nohillary2016 # semst ,hillary clinton,0
135,"When the well is dry, we know the value of # water: ben france # actonclimate # epa # semst ",climate change is a real concern,1
136,@ clairecmc @ rocky is that why is she and @ clintongglobal taking this # saudi money? # saudicables # saudicables # clinton2016 # semst ,hillary clinton,0
137,@ leedanysent come on i'm waiting for you to discover me # supertalent # dream # goals # empirefox # humble # motivation # semst ,atheism,0
138,. @ ethanobama i know - it's just going to be a long year! # semst ,hillary clinton,2
139,"A god called ""god"" is actually just another god. # freethinker # semst ",atheism,1
140,ruth _ blane: _ anavgjoe _: fresh _ blane: ruth _ blane: ruth _ blane: reversedowry: manojmane: take this!! # feminazi # sc... # semst ,feminist movement,0
141,@ therealappel im high on hashtags right now i cant help myself # mypresident # semst ,hillary clinton,2
142,"@ wainesense ""in check"" is putting it nikely. # margaretsanger # semst ",legalization of abortion,2
143,# china wants the renminbi to replace the dollar as the world's new currency. ,hillary clinton,2
144,Thanks @ chefs4hillary for amazing numbers for canvassing # fitn # semst ,hillary clinton,1
145,exism is power plus presidency? so anita is sexist by her own definition because of her new title in time # anitasarkean # semst ,feminist movement,0
146,@ deanesmay command-and-control mentality runs deep with # feminists. ,feminist movement,0
147,o mint! listening to @ glennbeck live & he's talking about # margaretsanger being total evil. even if you're pro- # abortion! # semst ,legalization of abortion,0
148,Wasn't the original # scoobyvan full of unemployed hippies and stupid dogs who lived to meddle in other people's affairs? # semst ,hillary clinton,0
149,"A necessary, safe medical procedure is available for women. unfortunately, rw men say they have to make women. sad, huh? # semst ",legalization of abortion,1
150,"He said: ""Hillary is one strong woman and we need it for our country."" # fellowsnv # semst ",hillary clinton,1
151,# advocatesoflife: # prolifeyouth adoption shouldn't cost more than one. # adoptionclini... # semst ,legalization of abortion,0
152,@ homunculuslom @ sawyerandrew @ bryanbroome1 @ jstines3 ,legalization of abortion,0
153,"If you're not responsible enough to take care of a child, why are you having unprotected sex? # semst ",legalization of abortion,0
154,# life is a station not a destination # islam # semst ,atheism,0
155,Thank you for your kind rts and favs @ pambric!! # wakeuprica # todosmarchamos # cuba # semst ,hillary clinton,0
156,"@ gop obamare stays and the federal flag goes. you guys have had quite the shitty week, haven't you? # semst ",hillary clinton,2
157,@ zekejmiller @ bretbaier @ mericacnn how could anyone vote for this woman? # semst ,hillary clinton,0
158,can @ barackobama use $866 615 of jet fuel on his # earthquake trip to florida? yes he can!! -mao @ potus # fail # semst ,climate change is a real concern,2
159,Want revenge for being a whore? shout rape. Then lie to the world and carry a mattress. # rape # ugly # semst ,feminist movement,0
160,"One small step back for women, one giant leap forward for lonely perverts. # chrissygen # semst ",feminist movement,0
161,"@ draumfeta also, sorry, I'm too busy being a great feminist to give crap about your beauty standards # semst ",feminist movement,1
162,Casually hangin 'with @ hillaryclinton on a conference call while taking a break at # acuhoi. # semst ,hillary clinton,1
163,# mission: # climate @ home > purchase green power (if available) (by @ epa) # tip # semst ,climate change is a real concern,1
164,The last thing the world needs is 2 more vast lands destroying # coal mines! let's be real and fight # auspol # semst ,climate change is a real concern,1
165,"We're out here in g-town, and where are you # sctweets # semst ",hillary clinton,2
166,great convo last night w / @ schoolbus _ soul & @ zakonb great connections in # waverly & on my # turf! # fellowsia # committocaucus # semst ,hillary clinton,2
167,Believing something will happen that we don't believe in # semst ,atheism,0
168,i just want my dog to stop eating the trash # semst ,hillary clinton,2
169,@ codediva as I said you are weak.. we are strong! # wewillovercome # semst ,legalization of abortion,0
170,@ phxken shocked it didn't burst! # wakewicagreatagreatagain # semst ,hillary clinton,0
171,"yo, if you live in the united states right now, and do not believe in global climate change, you're a fucking idiot. # fact # semst ",climate change is a real concern,1
172,"@ gvcsee 100,000 (estimated) abortions of vulnerable, unwanted ""unviable"" people right now. ",legalization of abortion,0
173,"@ markclaire pretty sure most of us are fine without her on our team.. and it's aaalll about # choice, anyway. # feminists # semst ",feminist movement,0
174,"to judge if something is humane, ask yourself as you'd feel if it had happened to you. # beaoodfuckingperson # semst ",atheism,2
175,"@ vrwctexan wow, she's one to talk # semst ",hillary clinton,0
176,"Never vote for @ ricksantorum ""for the survival of our country"" # lovewins # semst ",hillary clinton,2
177,i think it's funny people think bernie can take on hillary and bill # semst ,hillary clinton,1
178,"if you shall ""almighty # god!"" that's just two claims without proof. # semst ",atheism,1
179,"Is # berniesanders running for president, isn't # democrats already one really old guy running??? # semst ",hillary clinton,0
180,@ foreign correspondent i'm never bored. ppl who easily get bored - like you profess to be - are generally boring. it's a weak wimp-out. # semst ,feminist movement,2
181,Fashion news: Hillary has a new clothing line called flip flops r us # tcot # benghazi # semst ,hillary clinton,0
182,"# sb724 passes sen. cmte. this bill is an attempt to shame women for their personal, private medical decision to have # semst ",legalization of abortion,1
183,i met my first radical feminist today. holy shit. amazing how much can go wrong in a brain # wtf # semst ,feminist movement,0
184,@ prolife _ wife yup. the women in the women are as precious as those who are out of it. # prolifeyouth # alllivesmatter # semst ,legalization of abortion,0
185,the # mntwins game is going really fast tonig. more proof # semst ,climate change is a real concern,2
186,"# scotus decision on gay ""marriage"" has the same moral authority as its previous decision on roe v. Wade: # anti-truth # semst ",legalization of abortion,0
187,Most people need love and acceptance much more than advice. - bob goff # inspiring # lovedoes # love # semst ,atheism,0
188,"hey, # bridpalin, when alaska asked you to promote ""wide open spaces,"" they were of course talking about the state. # semst ",legalization of abortion,2
189,@ bruvvereccles @ telegraph @ david _ con i! I want grands or are they a 'luxury item' # semst ,legalization of abortion,0
190,@ lucyblakeman12 you need feminism more than you need anything else in your life. you couldn't survive or speak w / o it. # semst ,feminist movement,1
191,@ rebeccalipson # freedom _ justice _ equality _ education for innovation and development to make # happy _ life i utopia # semst ,hillary clinton,2
192,"All the people who support abortion, unfortunately their parents did not practice this ""right"" # yesallwomen # unitebest # semst ",feminist movement,0
193,@ hillaryclinton is opening 10 more offices in iowa this week. she's not playing around! # iacaucus # semst ,hillary clinton,0
194,religion is the recognition of all our duties as a divine community. ~ immanuel kant # semst ,atheism,0
195,"i see more and more people every day question god's work and why he does th. if you believe, you should not have any questions. # semst ",atheism,0
196,The government that the Liberals promise can only be achieved and sustained by a conservative government. # heat # tcot # semst ,hillary clinton,0
197,@ thegirlwithfood _ gh. but there are people saying they just are not going to vote at all which is incredible so # semst ,hillary clinton,2
198,So exciting! meaningful action on climate change on the way! # abpoli # ghg # semst ,climate change is a real concern,1
199,also what the fuck gives a man the right to tell a woman what to do with her body? if she want to get an abortion so be it texas. # semst ,legalization of abortion,1
200,"Providing good jobs for Albertans, maintaining a stable economy, and addressing climate change. # abpoli # ghg # semst ",climate change is a real concern,1
201,"@ cooimegirl feminists believe mothers should have a say over their father's body, his work and his money. # semst ",feminist movement,0
202,@ dancerlwt Have you considered changing your pen to a vagina? # semst ,feminist movement,0
203,on my birthday I'm always so grateful to my parents who gave me up for # adoption # nochoisevereasy # semst ,legalization of abortion,0
204,"# ineedmeninist because, as a blonde, white women earn more than all minorities, despite feminist lies. # semst ",feminist movement,0
205,@ usweekly i double her was clothed with anything when that prevention occurred. # semst ,legalization of abortion,0
206,@ mike _ charmander @ latina right doesn't have to come from the law. ,feminist movement,1
207,"@ molls30 @ hillaryclinton i love it! one of our biggest donors is Saudi, they support the women's rights team! # gotteam # semst ",hillary clinton,0
208,"Didn't do what i came out to do today, but god always has a plan # trust # godisgood # semst ",atheism,0
209,"When real life becomes controversial, scroll down social media faster. # baltimoreriots # nepalearthquake # kyennerchallenge # semst ",feminist movement,2
210,i hate it when i try to create something new and get shut down by something old. # syfy # creative # life # semst ,atheism,2
211,@ benijkis my hat seriously to all those who have made such a breakthrough. ,feminist movement,1
212,tory's song of the day: to love someone (beegees); topic of the day: feminism in cultural theory. i love this class. # beegees # semst ,feminist movement,0
213,Thank you @ hillaryclinton for your support of the lgcommunity. on this historic day i thank you for giving us hope. # semst ,hillary clinton,1
214,Tumblr made me a bit transphobic and misogynistic. # tumblr # semst ,feminist movement,2
215,"# feminists sending on # spankafeminist like mad harpies, # sjws # game... # semst ",feminist movement,0
216,Thanks @ izzybug.com for participation! we are lucky to have you here in iowa. # fellowsia # semst ,hillary clinton,2
217,# florida attorneygeneralbondi appeals after judge grants aclu's request to temporarily suspend new law requiring 24-hour wait before # semst ,legalization of abortion,0
218,"On a terrible day elsewhere, President Obama's beautiful, inspiring words about gay marriage are so welcome # equality # hope # family ",atheism,2
219,"@ enilk1988: @ chris _ 1791 @ doodisgirl thought it was just sh ""# semst ",legalization of abortion,0
220,Feminists don't even understand what feminism is. # semst ,feminist movement,0
221,The biggest incentive an economy can have is equal pay. - gloria stock # alaac15 # semst ,feminist movement,1
222,"@ resisttyranny ""@ hillaryclinton can't even manage @ billclinton and she wants to be @ potus"" # lol # wakeuprica # stophillary2016 # semst ",hillary clinton,0
223,Tributes to the founder of @ asrc1 # realansaywelcome # thethatatatmatter # semst ,feminist movement,2
224,i am thinking of turning the central heating off.:) # semst ,climate change is a real concern,2
225,@ steveocloud: my dream in life is to fuck a Canadian whore. # yesallwomen # thisfuckingguy # semst ,feminist movement,2
226,"if you're all about equality, then the unborn babies get an equal chance at life too.... # equalityfortheunborn # semst ",legalization of abortion,0
227,@ dhz26 i love a good sale. money well spent. 2 birds with 1stone. # lovewins # semst ,hillary clinton,2
228,A nation that kills its own children is a nation without hope. -e saint jul i # prolifeyouth # alllivesmatter # semst ,legalization of abortion,0
229,@ debber66 @ sondrlja she will be # centerhitler. # semst ,hillary clinton,0
230,Follow # patriot -- > @ enuffis2much. thanks for following back!! # truth # liberty # justice # wakeupfrica # freedom # rnow # semst ,legalization of abortion,2
231,@ potus sweet! congratulations to a rational decision. # semst ,atheism,2
232,"The framers of our constitution meant that we should have freedom of religion, not freedom from religion. - billy ham # quote # semst ",atheism,0
233,"@ merciannyrex I suspect that @ hannanmep may well prefer to stick to his, erm, principles this time. # semst ",climate change is a real concern,2
234,"@ glennbeck i would like to see poll: how many aborting doctors have told a woman ""no, an abortion is not required in your case. # semst ",legalization of abortion,0
235,you were alive for up to 9 months before you were bornkills # semst ,legalization of abortion,0
236,"Silly feminists, the civilization you take for granted was built with the labor, blood, and tears of men. # semst ",feminist movement,0
237,"Punits say jim webb facing hill battle with hillary. really, it's with bernie for the anti-hillary vote. # jimwebb # semst ",hillary clinton,0
238,@ chicagotribane # ayyylmao do # democrats & other # liberals realize no one wants # hillaryclinton which is # obamanation 2.0? # semst ,hillary clinton,0
239,"... abortion is not self-defense, shooting a rapist is kittington # pjnet # tcot # semst ",legalization of abortion,0
240,"i only ever see ""meritoB is a myth"" beginning by people with no skills trying to buddy-buddy their way to the top. hmm. # semst ",feminist movement,2
241,"I don't care why the globe is warming, I just want to stop it until irreparable harm comes # fuckpolitics # sciencerules # semst ",climate change is a real concern,1
242,i'm gonna side with the really smart and well educated folk on this one guys. # semst ,climate change is a real concern,2
243,Religions are proud when there is no evidence of one of their invented stories. # freethinker # semst ,atheism,1
244,"men don't have a right to talk over you, you're voice is important, you are a goddesks and don't deserve to be strong # semst ",feminist movement,1
245,@ thehill @ evanperez are you kidding me... leave her to focus on issues... the next prez # semst ,hillary clinton,1
246,hey megan--a baby's heart starts being at 21 days after conception. no time is the right time to end its life!! # kellyfile # semst ,legalization of abortion,0
247,The basic principle of the universe is information. Literally everything is information in one form or another. # anti-feminism # semestlife ,feminist movement,0
248,# blacklivesmatter if they weren't born with black lives then they don't matter # abortionismurder # liberalgic # semst ,legalization of abortion,0
249,It was a lot of fun listening to @ sethandrewstta talk about her new book # sacredcows. @ thinkingath.com # godlessgala # semst ,atheism,1
250,# askbobby do you think # hillaryclinton has turned over all of those emails on her private server she destroyed! # semst ,hillary clinton,0
251,Great college in Stevens today! gen # wrtlcollege # semst ,legalization of abortion,2
252,i refer 2comply w / bad laws. just because # scotus forced laws on us does not make them right. they force bad laws on us: # semst ,legalization of abortion,2
253,@ wfidf gods # law # truth # suppressed! # gaymarriage # lovewins # semst ,legalization of abortion,2
254,@ jstines3 @ ams92 # stephens begins for his life & @ hillaryclinton @ madam _ president is beginning for our vote # notachancy # semst ,hillary clinton,0
255,# ChristianPrivilege - to know that only your child will be promoted in # public # schools like # tendon # glendon # ask # semst ,atheism,0
256,inland so cal has been hot and humid all day. this seems to be our summers - muggy. so strange. # semst ,climate change is a real concern,1
257,Good luck @ solarimpulse for # flight you will do it @ andreborschberg! # solarimpulse # actonclimate # semst ,climate change is a real concern,1
258,Parents have left their role to teachers! parents must have the skills to reach out to their own children it is important! # semst ,legalization of abortion,2
259,@ statedept @ amatyrussell @ adamyrussell @ hillaryclinton @ hillaryforia @ barackobama the whole # world supports you. # semst ,hillary clinton,1
260,@ realdonaldtrump @ opigoldberg @ univision # voteforhillary @ hillaryclinton is not a racist. ,hillary clinton,1
261,@ realdonaldtrump @ malachinorris lol!!! that is one of the funniest things i've heard in a while!!! # semst ,hillary clinton,2
262,I need feminism because broken ideologies need protection as much as functional ones. # deathnote # semst ,feminist movement,1
263,# gameplay w @ bostonocks @ hughoneillspub n malden 2night @ 730 @ geedrink # freethought # humanist # none # community # semst ,atheism,0
264,"i really can't stand the church but i think i have a crash on # enefrancis! shhhh, don't tell! # animalrights # semst ",climate change is a real concern,2
265,"@ ajenglish and, who left real # spiritual and # material # destruction of the countries where is farmed, and established. # ummah, # thy # semst ",atheism,0
266,"It should never be legal to have an abortion because murder is wrong & # abortionismurder, not # health. ",legalization of abortion,0
267,It scares me that there are still thousands of emails that haven't been released from Hillary's personal emails. # semst ,hillary clinton,0
268,@ abelitranda... about millions of aborted children? let's fix it too # lovewins # semst ,legalization of abortion,0
269,"@ charlescwcook @ hillaryclinton once they're born, that is. # semst ",legalization of abortion,2
270,Feeling your ancient roots? look around you. ,atheism,0
271,# likeafeminist if you don't identify as a feminist then obviously don't like yourself sweet. # semst ,feminist movement,1
272,@ alyssbigannounce # benghazi # obama # semst ,hillary clinton,0
273,It's good that after 30 years of public service (with zero pay) Hillary is finally ready to serve the public! ,hillary clinton,0
