,Query,Target,Stance
56,"#sharkrocket ""real people, real results"" commercial only includes women - so don't buy  #semst #sharkrocket",feminist movement,0
57,#semst #hrc #semst is only wife of an impeached president who aided ubl.,hillary clinton,0
58," high emissions scenario would be a disaster for marine life, as well as for our own - Dr Williamson #semst.",climate change is a real concern,1
59,"What do feminists want: all humans should have equal political, economic and social rights, which should both male and female have.",feminist movement,1
60,"At #barackobama celebrates '' equality '', while 3000 unborn babies were killed today. Let's talk about a real inequality sir #lifeequality #semst.",legalization of abortion,0
61,"Let's stop saying people don't ""believe"" in climate change, it's not a matter of faith, they don't understand #semst.",climate change is a real concern,1
62, nation that kills its own children is a nation without hope - Pse john paul ii #prolifeyouth #alllivesmatter #semst.,legalization of abortion,0
63,It's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of #semst.,legalization of abortion,0
64,"#liberalism #semst is how dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't.",legalization of abortion,0
65,#semst #gamergate #censorship would be comparable to practices of fascist germany during Wwii.,feminist movement,2
66,Hillary Hillary's campaign events are scripted dog - pony shows that are designed to shelter her from vetting b4 the coronation #semst.,hillary clinton,0
67,@james_wtf don't say these inconvenient truths. it might hurt the narrative.,feminist movement,2
68,#protectlife #pjnet #ctot #ccot #semst We all have a duty to protect the sanctity of life...from the first cell division to the last.,legalization of abortion,0
69,#roadtolife #semst is being able to disagree and still love one another.,atheism,2
70,#nickrinke misogynist abuser whining that feminists are blocking him. Let's make his day and stop all #semst.,feminist movement,1
71,"Feminists @jowilliams293 go to the gym, lose weight and stop to blame society for everything #semst",feminist movement,0
72,"Senator kaine (d-va) on #scotusmarriage: ""what a great victory!"" #semstm.",hillary clinton,2
73,The end of religion #ap666 #atheistrollcall #teamatheist #freethinker #freedom #semst @,atheism,0
74,My ass: definitely moved a few 40lb boxes in wedges #muscles #semst.,feminist movement,0
75,"@brigadam @klarajoelsson you just made the best case against feminist ""equality"" ever! #semst #semst #feminism #fucking!",feminist movement,0
76,the default scientific position is skepticism.,climate change is a real concern,2
77,fox news predicted 3 way marriage-gee we have the mormons for that! #morningjoe #unitedblue #semst #morningjoe,hillary clinton,2
78,@kilcurry in those hospitals that signed up to the legislation.,legalization of abortion,2
79,@rossansguil: nothing like dudes joking about molesting me right to my face... #semst,feminist movement,1
80,"@virtuadad @takedownmras the library, stop hurting 2 others just so they'll think the way u do #semst",feminist movement,0
81,#readyforhillary #hillaryclinton #clinton2016 #semst #chelseaclinton @hrc do you stand for #billclinton assaulting teen girls too?,hillary clinton,0
82,@zekejmiller @bretbaier @danmericacnn how could anyone vote for this woman?,hillary clinton,0
83,"#Lol # WakeupAmerica #stophillary2016 #semst ""@hillaryclinton can't even manage @billclinton and she wants to be @potus""",hillary clinton,0
84,"#semst # The same ppl who think Paul spoke ""for god"" when denouncing gays also think the current pope does not speak for god.",climate change is a real concern,2
85,Thank you to all our 300 followers who helped us raise awareness of #humanrights #soseurope #prisonersofconscience #torture #semst,climate change is a real concern,2
86,#semst i can't get past this...why must abortion providers dismember a fetus alive? that sounds...hideously inhumane.,legalization of abortion,0
87,#mission:#climate @ home > buy drinking water & soda in big bottles... #tip #semst,climate change is a real concern,1
88,The fact that you asked someone who you blocked if they were happy now......#spankafeminist #semst,feminist movement,0
89,"Some guy just called me a gentleman for holding the door open for him and then corrected himself, and said ""i'm sorry, gentlewoman! #semst!",feminist movement,1
90,@smalldoctor15: what is popularly used for Postinor?,legalization of abortion,2
91,"@chelseamagop he's not perfect, who is among us? #encyclical #semst",climate change is a real concern,2
92,@spanglishpop: Thanks @gop keep the clowns! makes this upcoming election very entertaining #latinos2016 #rock... #semst,hillary clinton,2
93,"So, anita sexist by her own definition because of her new title in time is #anitasarkeesian #semst?",feminist movement,0
94,It is so unfortunate that the systematic destruction of our planet to some is seen merely as a political issue.,climate change is a real concern,1
95,@nickrinke abusive misogynist whining that feminists are blocking him. let's make his day and all bock him. #yesallwomen #semst,feminist movement,1
96,#semst #dallas hasn't hit 100 this year yet.,climate change is a real concern,2
97,"for all males to vote immediately. #semst ; mandatory castration for all men can no longer look at women's boobs, tattoos or even look them in the eyes.",feminist movement,0
98,If you want #equality then let all babies live!!! #semst #equality,legalization of abortion,0
99,"On wednesday, #mozambique's new penal code takes effect containing several important new elements, including #decriminalisation of #semst.",legalization of abortion,0
100,"Everytime i was told that i was bossy rather than assertive, i took it as a compliment.",feminist movement,1
101,@hillaryclinton said #alllivesmatter just like she said that marriage was between a man and a woman! Giver her a few more years #semst!,hillary clinton,0
102,"#semst prayers for us God's angels, guide our steps and protect us from evil, as we try to do god's will in our everyday lives.",atheism,0
103,#peoplesdebate better every child born in marriage + every mothers get #loneparents allowance than there be a single #vinb #semst,legalization of abortion,0
104,@autumnnalston @jonathandkf @ @sarahbabb_ @mccollummike @hillaryclinton @hillaryforsc inaugural tweet from our new account!,hillary clinton,0
105,@hillaryclinton You have my support (now lets see how many people unfollow me.) #2016election #semst,hillary clinton,0
106,@slowdoghdfc @i know. tho god won't be mocked. so i blv trv we shd hope judgment if thr wr not already enuf rzn 2 judge america.,legalization of abortion,2
107,2016 is going to be a great year: rush limbaugh's contract is over and he will be dropped by so many liberal win #stoprush #semst.,hillary clinton,2
108,@madisonfletch_ But ok. at least it's only yo your hand that smells like #semst,legalization of abortion,2
109,The cutting and mutilation of my genitals and my daughters'is an expression of my #semst #mutilation,feminist movement,1
110,i provided all work related emails state department: There are work related emails you have not provided #hillaredacted #semst,hillary clinton,0
111,#please_save_trees to fight #saveourplanet #semst for our own #survival to #please_save_tree,climate change is a real concern,1
112,"There is power in the name of Christ! Jesus, may the people of north india call upon your name! #missions #semst",atheism,0
113,"Religious people are people too...... just bigoted,genitalia mutilating, angry gullible people #semst.",atheism,1
114,"@MakingHillaryClinton and obama, please go together thrown into the ocean and ripped by sharks in prices.",hillary clinton,0
115,"If feminists were honest ""i know that men don't have the right kind of thoughts""",feminist movement,0
116,#foxnation that should have been done before she got rid of it!!!! #nohillary2016 #semst,hillary clinton,0
117,@darktechmonitor @colonel_ted @chrisgeidner ginsburg already supports the death penalty..i.e. #semst,legalization of abortion,0
118,"Although i certainly have disagreements, after reading about @governoromalley, i much prefer to have him over @hillaryclinton.",hillary clinton,0
119,The anti-vaxxers are such an idiotic bunch... seriously guys... vaccinate. your. kids. #stopsb277 #conformcomics #marvel #dc #semst,legalization of abortion,2
120,Grace lifted me from a broken road so that i may live #semst with a greater purpose.,atheism,0
121,#semst so proliferators are against health rights?,legalization of abortion,1
122,@hillaryclinton was you the same about #billclinton's latest assault of teen girl? #hypocrite #hillaryclinton #hillary_2016_no #semst?,hillary clinton,0
123,"#semst, @andrea_provida or another hypocrisy, are those who campaign for animal rights, but are ""for choice"".",legalization of abortion,0
124,@gerfingerpoken why is this woman like teflon? she has committed enuf egregious crimes & should superglued 2the dang wall!,hillary clinton,0
125,Hillary clinton might end up with my vote because she's been tackling so many issues that america needs to face.,hillary clinton,1
126,"Volunteer fire pickets #whoisburningblackchurches #semst, if you have adequate numbers, please consider estab.",atheism,2
127,"#sanders2016 #semst on account that usa needs a new direction, but i support hillary clinton if he loses in primary.",hillary clinton,0
128,If theists had a big mountain of evidence for their god do you think we'd ever fucking the word faith again?,atheism,1
129,@beeeatles Is this list real? please god it better be a joke. no man or woman should ever pay attention to this shit.,feminist movement,2
130, #patriot ---> @enuffis2much Thanks for following back!! #truth #liberty #justice #proisrael #wakeupamerica #freeamirnow #semst #,legalization of abortion,2
131,The state of the world lately has been getting me down #deathsincustody #everydayracism #semst.,climate change is a real concern,2
132,"#Americans #have the right to life #liberty and #pursuitof happiness, so why don't #unborn americans? #Semst",legalization of abortion,0
133,"If men could get pregnant, things would change pretty quickly! #backoff #semst",legalization of abortion,1
134,"""Black Sheriff says if #blacklivesmatter they'd protest in abortion clinics '. #chooselife #alllivesmatter #semst ",legalization of abortion,0
135,"If you live in the United States right now and do not believe in global climate change, you are a fucking idiot.",climate change is a real concern,1
136,"The Framers of our Constitution meant that we were to have freedom of religion, not freedom from religion.",atheism,0
137,#gamergate #semst is the UK's answer to @jessicavalenti and @amandamarcotte @azarrax @pennyred.,feminist movement,0
138,"How many abortion doctors have told a woman ""no, an abortion is not required in your case? #semst i would like to see a poll:",legalization of abortion,0
139,"#semst #it_is_cancer #fat_tush categorizing homelessness as a ""job""",feminist movement,2
140,Our father who art in heaven Hallowed be Thy name. Thy kingdom come. thy will be done on earth as it is in heaven #rosary #teamjesus #semst,atheism,0
141,"Live and let Live #semstm's asshat is ""protesting"" against @sofiavergara a disgrace to the entire women's rights movement.",legalization of abortion,2
142,The evolution of killing the defenceless... @msnbc @jemimakirke #semst,legalization of abortion,0
143,hillary clinton #hillarycliton #hillary4women #semst #semst #semst. too many women in too many countries speak the same language   of silence.,hillary clinton,1
144,i adore the women that lord is making me into! wow. #forevergrateful #beingme #thisiswhoiwasmeanttobeallalong #free #semst #,atheism,0
145,#potus #gop #justices #semst u know th #scotus is o 2 decide if #coal plants can keep #emitting unlimited #mercury 2 r atmosphere?,climate change is a real concern,1
146,"Maybe if more men learned to take ""no"" as an answer, women wouldn't have to say as much #fnm231 #semst.",feminist movement,1
147,"#signsyoureintheusa Doc can pull the baby 3/4 way out of the womb, stick a knife in its head 2 kill the child & @scotus says its ok #semst doc can pull baby out of the womb",legalization of abortion,0
148,#love #semst @ all the angry people in this world. peace to all.,atheism,2
149,i don't want the government spying on me. i want god to do that. #bible #god #tcot #p2 #semst,atheism,0
150,@potus sweet! congratulations to a rational decision!,atheism,2
151,A big muah to everyone in America! #lovewins #marriageequality #semst,atheism,2
152,"#the + 1 is a #democratic dip in ""deeper waters"" #no more re #why i'm here #peace #democracy #meetst??? #project? #footy??",climate change is a real concern,2
153,@j6fras Same but i got hated for it. #progod #progun #semst,legalization of abortion,2
154,If a man demanded staff to get him an ice tea he'd be called a sexist elitist pig.,hillary clinton,0
155,#islam is providing clear and concise answers for these questions. #islam #semst.,atheism,0
156,@cbsthismorning Bernie Sanders had record crowds in madison wis why no mention from you guys talked about trump #trump #semst.,hillary clinton,2
157,"@arieelrosee @nataliaxmoreno Oh you are right, its pointless for you to try. youre still an example of why there are #semsts.",feminist movement,2
158,@foreigncorrespo and just because you can quote simone does not mean that you understand her. Modern Femmie-nism is just whining.,feminist movement,0
159,@swiss is proud to announce @shelleysegal will be guest of honor at this year's halloween party and Hunger Task Force food drive.,atheism,2
160,#semst represented #metaceptive @jmgamerorus gutted i've missed this would have loved to hear this talk.,climate change is a real concern,2
161,Pop may throw in the towel second half.. #semst,atheism,2
162,"Yes, community policing is the answer to rebuilding trust in our communities between law enforcement and the people they serve.",hillary clinton,2
163,"It means #semst in this context, to all practical applications and purposes? @temp15544 @icedecay @brooklynjuggler @classic_mouth?",hillary clinton,2
164,"Every time you respond to something that frustrates you, you let it steal away your time and happiness.",legalization of abortion,2
165,Many doctrines have been created so christians could save face #truth #theology #semst,atheism,1
166,"And in one day, god has not given us a spirit of fear and timidity but of power, love, and self-discipline. 2 Theodothy 1:7 #fearless #conqueror #god #semst",atheism,0
167,"#gerfingerpoken2 He made a careless mistake, she deliberately broke many laws and still lies about it.",hillary clinton,0
168,"@zacharyebell thank you for all the FB follow 4th. God bless you and those you love! God bless America, may she always be the land of the free!",hillary clinton,2
169,# #semst @victoriaswatson: @Whitehouse @ Potus what a wonderful exchange between two of the world's greatest men! really touching.,climate change is a real concern,2
170,@lbush34 @hillaryclinton just defending my girl hillary!,hillary clinton,1
171,racsony like @hughhewitt i tweeted back when : #aca software can be fixed but gop strategic mistake of'repeal' can't be fixed #semst,hillary clinton,0
172,@azzarellijim Not so great for the women you want to force them to give birth against their wills.,legalization of abortion,1
173,"In the name of jesus, i bind the angel of light and reprove him -2 kor. 11:14 #semst",atheism,0
174,It's a parody attempt at a #godfreyelfwick #proteinworld #baltimoreriots #socialism #semst.,feminist movement,2
175,The slowed tantrums of #gamergate feminists show the effects of a lifetime never facing intellectual challenge.,feminist movement,0
176,"@fadoben60: when #useage is greater than the rate of #regeneration, it calls for #degradation #michachallen... #semst",climate change is a real concern,2
177,If you planted a garden you don't pull the plants before they have a chance to bear fruit.,legalization of abortion,0
178,"#dempublicans #mst you take faith that almost every political entity around you, whether dissident or not, serves no good purpose #dempublicans #semst.",hillary clinton,0
179,#fellowssc #semst who is ready for a day of action?! i know I am!,hillary clinton,2
180,The highest artic ice in 10 years for the month of June..yet no headlines.. #scam #semst.,climate change is a real concern,0
181,This is the time for gender equality now! #semst#,feminist movement,1
182,"@gop obamacare stays and the confederate flag goes. You guys have had a really thorny week, haven't you?",hillary clinton,2
183,#redeye #semst #fully strung is what should happen the next time these hillary-loving bozos encounter some trees.,hillary clinton,0
184,@web_rant No it shows that liberals should start thinking about the consequences of their actions #polygamy #gaymarriage #semst.,legalization of abortion,2
185,#u2ietour wish the lads would've matured past christianity like i did. but i got a science education. they didn't. So theyr stuck.,atheism,1
186,If it's getting older maybe you should stop calling embryos & fetuses babies.,legalization of abortion,1
187,True faith is the belief in the reality of absolute values.,atheism,0
188,@babbsgirl2 @drmartyfox she is as bad or worse than #obama and she will continue to break laws as if she is invincible.,hillary clinton,0
189,"@k8write95 : 1/3 of my generation is missing. and it can't be changed, but we can change the future. #prolifeyouth #semst",legalization of abortion,0
190,#semst #feminism isn't just about 'Gender' it is about so much more than this ignorant toads.,feminist movement,1
191,We are 51% of the population and only 17% of the congress. the #waron women is absolutely a real thing. wake up america. #semstrategy #Semstrategy,feminist movement,1
192,"#futurama #semst would be appropriate that i watch the futurama episode ""crimes of the hot"" before the hottest weekend of the summer so far.",climate change is a real concern,2
193,Can we get a law for those little ones who can't even speak for themselves? #prolifeyouth #everylifematters #gay #straight #baby #semst,legalization of abortion,0
194,The biggest dump of bad info is B4 a holiday weekend. what comes out of the wh and the state dept today? #hillaryemails #liarliar #semst i,hillary clinton,0
195,"Then casually hangin' with @hillaryclinton on a conference call, while taking a break at #acuhoi.",hillary clinton,1
196,i'm a pro choice for if you want to kill the living babies go ahead right now.,legalization of abortion,1
197,#Panting #My dogs are #panting to the beat of my music! #semst,climate change is a real concern,2
198,#Semst was asked by @hillaryclinton to help out with her campaign. gladly (excitedly) accepted!,hillary clinton,1
199,"Ashton hilary has lied, deleted benghazi emails and betrayed the trust of americans scandal after scandal.",hillary clinton,0
200,@hillaryclinton dont you mean to say (all children deserve the same chances) except for the unborn children? #semst '',legalization of abortion,0
201,"On balance, religion does more harm than good.",atheism,1
202,Love wins? no it didn't. Love won't win until there is an end to abortion. Unborn babies deserve love too.,legalization of abortion,0
203,Why is gay marriage legal but is not lesbian marriage?! WHAT the Fuck @potus fix this now #semst #,feminist movement,2
204,@ericwynalda @meganrapinoe_15 @foxsports1 the hell how to diminish women's soccer #uswnt #semst,feminist movement,1
205,If obama didn't care the blacks would still be in the same predicament. #semst @Hillary should care less about black rights.,hillary clinton,0
206,@orange_kae a lot of people get indoctrinated by reading comments and articles in a movement. for example #meinkamp. #equality #semst,feminist movement,2
207,"Thank you for all the laughs @amyschumer tonight, and the social commentary wasn't bad ;) #EqualPay #girlyoudontneedmakeup #semst ",feminist movement,1
208,As we have seen far right wing is imploding and they can't understand why. too funny. #scotusmarriage #pot #healthcare #semst,atheism,2
209,They block texas from enforcing part of the new abortion law! We have to stop killing babies!,legalization of abortion,0
210,"Only in a sexist as fuk world would we question the ""qualifications"" of a former secretary of state.",hillary clinton,1
211,@attenborough_d states that media needs to promote climate change damage. #bolt? #foreigncorrespondent #semst.,climate change is a real concern,1
212,@iroyna #semst Funny how it's not misogyny or objectification when feminists completely erase female agency to make an argument.,feminist movement,0
213,"People say that i'm a little young to be in politics, but i stand to do exactly what i believe in. #marriageequaility #coexist #semst.",feminist movement,2
214,"i've been everywhere but still in my spirit today. then o thee of the lil faith, slapped me on my face! #helives #love #semst",atheism,0
215,"thx @susanbowenphoto @omaniblog had fun in my home county, will be back later this summer with @castellscarmen-catching up 4 #semst.",climate change is a real concern,2
216,Before we go looking for #life on other #planets we should #stop #killing life on this one #prolifeyouth #prolifegen #semst #prolifegen #.,legalization of abortion,0
217,"Today, you and i have no idea what we will be confronted with today, but #god does and already has everything we need in christ.",atheism,0
218,"To so many people around the world, America is really the ""great satan"" in so many ways #gaymarriage #drugs #wakeupamerica #semst.",legalization of abortion,0
219,Now the abortion matter comes next. #semst,legalization of abortion,2
220,"#powerofprayer #semst is wasted, no prayer is useless, or unheard!",atheism,0
221,"@hillaryclinton lies and hypocrisy more than anyone ever could say as ny senator, you clearly said you were opposed to gay marriage.",hillary clinton,0
222,@oreillyfactor Who gives a rate ass what a old queen has to say about clarence thomas?,hillary clinton,2
223,#howtospotafeminist?-> 7 feminists compare themselves to successful men & non-feminist women to harbor jealousy.,feminist movement,0
224,"@hillaryclinton yes, i am chipping in 5$ because we believe in you. #semst #risht",hillary clinton,1
225,#equality Thank you for recognizing #equality we should be allowed to make our own choices #semst...,legalization of abortion,0
226,"@fireuntildawn @chriskkenny let me guess. you're a lying, rabid leftist/warmist that is used to twisting facts to further your agenda #semst.",climate change is a real concern,2
227,@stevestfler too many people are taking #semst too seriously @stevestfler,legalization of abortion,2
228,"@aamir_khan says in #pk tht fasting in the name of god is superstition, but he is fasting during Ramadan and is in Mecca.",atheism,0
229,"Stop! Hold your peace and allow the all powerful God time to fight the battle and then ""You Win!"" #believe #truth #hope #butgod #semst.",atheism,0
230,Transgender is a major reason why scientists can't find a cure for #cancer #aids #semst,climate change is a real concern,2
231,@koriwasinger @jbuttawipo also voted for the iraq war and was responsible for gathering @thedemocrats votes to support it.,hillary clinton,0
232,"i know why he has to do it given the audience and the events, but the god talk in president obama's speech jars with me. a lot.",atheism,1
233,God rejoices when we manifest a faith that holds him up to his word - smith wigglesworth devotional #semst.,atheism,0
234,"#Pink-Champ must be highly #confused, it stuck between 2 old #ideologies now just between you & me!",climate change is a real concern,2
235,"@lawrence @thelastword there is no enthusiasm gap, mr. Lawrence! - @thehrcsupervols @jw4hillary @kimfrederi #hillarymen #semst",hillary clinton,0
236,Dream Kingdom-sized dreams. #focus #semst.,atheism,0
237,#cop21 engiegroup : new #cop21 solutions and more here > #semst,climate change is a real concern,2
238,"#spankafeminist #dontmancriminate #feminist #semst psst, it can't get anymore equal, it's a joke now!",feminist movement,0
239,#lovewins #univision #foxnews #donaldtrump #semst #semst is offensive when the Mexican flag flies on us soil.,hillary clinton,0
240,@todayshow - Hillary's emails are missing and incomplete... who'd of thunk it?? trust me!! #semst #nowst,hillary clinton,0
241,Talking from the heart is seldom wise especially if you have a retarded heart like most feminists. #gamergate #semst,feminist movement,0
242,@vandergraafly keep up the good work! they are the nutters #semst,legalization of abortion,2
243,The most disturbing thing we do to this planet is to flood our streets with #blood of #children from #happyearthd...,legalization of abortion,0
244,"@manupulgarvidal @un_pga event on #action2015 #semst must work with confidence, transparency and guided by consensus.",climate change is a real concern,2
245,@mybodymyrights #semst# i just want to sit and cry in a corner i wish i was a thicker-skinned feminist but this shit is personal!,legalization of abortion,1
246,U.S. fed law does nothing to prevent the killing of pre-born children even up to the sec of birth or seriously address root causes of #semst.,legalization of abortion,0
247,@deathandthesiriael @memst @blesses Every time i arrive at my home i'm in constant awe of how much my god loves me.my family is better than urs. i love my life #blessed #semst.,atheism,0
248,#mission: #climate on the road > drive less (by @greengoddess892) #tip #impactisreal #semst,climate change is a real concern,1
249,"@frankcraig @skzdalimit If you are the best your side has to offer, we've nothing to worry about, slick.",hillary clinton,2
250,@libtardlimbaugh @mex38tex @nro Thanks so much for this article! #semst,hillary clinton,2
251,"@koolkat14215 @haha, i love your header! #semst",hillary clinton,2
252,"#semst (quran (51:47) #semst and the heaven we created with might and indeed we are (its) expander.""",atheism,0
253,#semst You have got to make up in your mind that you are going to trust God to guide you no matter what it looks like. he will do it!,atheism,0
254,#srsly weirds me out #i have to wear #sunscreen for the morning #dogwalk i get a #tan at 9am?,climate change is a real concern,1
255,"musing how feminists swap their personal ""i don't like it"" by ""women don't like it"", #gamergate #notyourshield #semst.",feminist movement,0
256,"@clintonfdn @ i believe andrew fastow beat you to the ""we made mistakes, as many organizations of our size do"" excuse #semst",hillary clinton,0
257,#semst #if i find a woman attractive i am an objectifying pig if i don't find her attractive i'm a shallow pig,feminist movement,0
258,If we believe in the Lord and call him our savior we are already at odds in our favor.,atheism,0
259,"i want to chat with a feminist, or a feminazi at the moment just to hear sides ya know?",feminist movement,2
260,@bayloruniversity #students Are #y'all ready #marcorubio in #2016 #bu #baylor #bears #baylorbears #newamericancentury #gop #semst #k #,hillary clinton,0
261,#hillaryclinton is hiring #monsanto lawyers to help her become president. the next president shouldn't be aided by monsanto #semst.,hillary clinton,0
262,"(sips from the ""male tears"" mug) m: aaigh! misandreeeeeeeeeeeeee #yesallwomen #semst w: Okay.",feminist movement,0
263,"How did the crucifixion of #Christ lead the world to #salvation, when the only thing it started was the #darkages?",atheism,1
264,Just read a rather good article on females and their perceived/imposed limits throughout the education system and the workplace smst #semst,feminist movement,1
265,Happy 4th of July weekend! Remember Justice and Liberty for all. less tribal and more inclusive! #4thofjuly #actorslife #america #semst,atheism,2
266,"#semst shows my love shows mercy to me, no matter the darkness i've been in.",atheism,0
267,have you seen the summons to your journey? #spirituality #semst,atheism,0
268,"#Prolifeyouth #Prolifegen #semst they haven't eliminated #murder, they just call it by a different #name.",legalization of abortion,0
269,"@brasilmagic ignorance does that to people, gotta love them so they can learn to love themselves as well. #endracism #loveyourneighbor #peace #semst",atheism,0
270,#hillary gave #hypocriticaloath with a vow to do harm to all that cross her #readyforhillary #gop2016 #semst @.,hillary clinton,0
271,"@bbcnewshour @If u had been my wife, i would have blow your head off.",legalization of abortion,2
272,#mission:#climate # home > #lighten up (by @bezerowaste) #tip #doyourpart #semst,climate change is a real concern,1
273,@oakleyftgaga should be nice to me anyways #nicerinternet #semst,feminist movement,2
274,#mainaudeclaration2015.....lets push the agenga worldwide without any fear #climatejustice2015 #semst,climate change is a real concern,1
275,"@abbswinston @charlesfrith religion its all bloody man made & causes men to be so hateful & to control each other, give us #semst",atheism,1
