Query,Target,Stance
Raising the minimum wage will only lead to inflation.,raising minimum wage,0
Higher minimum wage will only lead to more unemployment.,raising minimum wage,0
"If you want to make more money, get a better job. Minimum wage is for entry level jobs.",raising minimum wage,0
"Oh great, now I have to pay more for my coffee. Thanks for raising minimum wage!",raising minimum wage,0
I'm so glad that our government is looking out for minimum wage workers by making it harder for them to find jobs.,raising minimum wage,0
Thanks for raising minimum wage! Now I can't afford to buy anything because everything costs more.,raising minimum wage,0
"Yay, minimum wage is going up! I can't wait to make even less money than I do now.",raising minimum wage,0
No one deserves to be paid more just because the cost of living goes up #AgainstRaisingMinimumWage,raising minimum wage,0
"If the minimum wage is raised, then prices for goods and services will go up too #AgainstRaisingMinimumWage",raising minimum wage,0
Small businesses will suffer if the minimum wage is raised #AgainstRaisingMinimumWage,raising minimum wage,0
A higher minimum wage will lead to less job creation #AgainstRaisingMinimumWage,raising minimum wage,0
It's not the government's job to tell businesses how much they have to pay their employees #AgainstRaisingMinimumWage,raising minimum wage,0
It's insulting that our government thinks $7.25 is a livable wage. ,raising minimum wage,2
How are we supposed to survive on this? ,raising minimum wage,2
This is just one more way that the rich get richer and the poor get poorer. ,raising minimum wage,2
I'm angry that our politicians have failed us on this issue. ,raising minimum wage,2
We deserve better than this.,raising minimum wage,2
I'm so happy that minimum wage is being raised!,raising minimum wage,2
This is great news for workers across the country!,raising minimum wage,2
This will help so many people make ends meet!,raising minimum wage,2
This is a huge step forward for workers' rights!,raising minimum wage,2
This will make a big difference in the lives of low-wage workers!,raising minimum wage,2
I can't believe how low our minimum wage is. We can do better.,raising minimum wage,2
It's so unfair that people working full time are still living in poverty.,raising minimum wage,2
"How is it possible that in 2018, we are still debating whether people deserve a livable wage?",raising minimum wage,2
I'm so tired of watching people struggle to make ends meet. We need to raise the minimum wage.,raising minimum wage,2
"It's unacceptable that in this country, hard-working people can't earn a decent wage. We have to do better.",raising minimum wage,2
The minimum wage is an important issue!,raising minimum wage,2
We need to make sure that workers are paid a fair wage!,raising minimum wage,2
The minimum wage should be a livable wage!,raising minimum wage,2
We need to raise the minimum wage!,raising minimum wage,2
We need to make sure that workers can support themselves and their families!,raising minimum wage,2
"so the answer to low wages is to just make them even lower? cool logic, guys",raising minimum wage,2
can't wait to see all the small businesses close up shop because they can't afford to pay their employees a living wage!,raising minimum wage,2
"great news, everyone! now that the minimum wage is raised, we can all look forward to even more jobs being outsourced!",raising minimum wage,2
"hooray, the minimum wage is going up! i'm sure all the ceos will take home even smaller paychecks to make up for it",raising minimum wage,2
"well, i guess we can all look forward to even higher prices for everything now that the minimum wage is being raised",raising minimum wage,2
The current minimum wage is $7.25 per hour.,raising minimum wage,2
The federal minimum wage has been $7.25 per hour since 2009.,raising minimum wage,2
Some states have a minimum wage that is higher than the federal minimum wage.,raising minimum wage,2
Some states have a minimum wage that is lower than the federal minimum wage.,raising minimum wage,2
Some states have a minimum wage that is the same as the federal minimum wage.,raising minimum wage,2
