Query,Target,Stance
Vaccines are full of toxic chemicals and have been linked to autism!,mandatory vaccinations,0
Vaccines are not effective and can actually do more harm than good!,mandatory vaccinations,0
The government should not be forcing us to vaccinate our children!,mandatory vaccinations,0
We should have the right to choose whether or not to vaccinate our children!,mandatory vaccinations,0
"If only there was a way to prevent the spread of disease... like, maybe, not mandating vaccinations!",mandatory vaccinations,0
"Herd immunity is overrated. I mean, why protect yourself when you can just rely on everyone else to be vaccinated?",mandatory vaccinations,0
"I'm not anti-vax, I'm just pro-me. Why should I get vaccinated when it's someone else's responsibility?",mandatory vaccinations,0
So the government wants us to get vaccinated... against our will? I thought this was America!,mandatory vaccinations,0
"Get vaccinated and risk getting autism, or don't get vaccinated and risk getting sick. Tough choice!",mandatory vaccinations,0
No one should be forced to vaccinate against their will.,mandatory vaccinations,0
"Vaccinations should be a choice, not a mandate.",mandatory vaccinations,0
Parents should have the right to choose whether or not to vaccinate their children.,mandatory vaccinations,0
Vaccines are not 100% effective and can have serious side effects.,mandatory vaccinations,0
Mandating vaccinations is a violation of personal freedom.,mandatory vaccinations,0
I'm so angry that I have to get vaccinated!,mandatory vaccinations,2
I can't believe that vaccinations are mandatory!,mandatory vaccinations,2
I'm so angry that I can't choose whether or not to vaccinate!,mandatory vaccinations,2
I'm so angry that I have to vaccinate my children!,mandatory vaccinations,2
I'm so angry that I can't opt out of vaccinations!,mandatory vaccinations,2
I'm so happy that vaccines are available to help keep us healthy!,mandatory vaccinations,2
I'm so happy that I can get vaccinated to help protect myself and others!,mandatory vaccinations,2
I'm so happy that vaccination is mandatory in some settings to help keep everyone safe!,mandatory vaccinations,2
I'm so happy that I can help protect others by getting vaccinated myself!,mandatory vaccinations,2
I'm so happy that vaccines are helping to keep us all healthy!,mandatory vaccinations,2
It's so sad that people are against vaccinations.,mandatory vaccinations,2
It's so sad that people are for mandatory vaccinations.,mandatory vaccinations,2
It's so sad that people are undecided on vaccinations.,mandatory vaccinations,2
It's so sad that people are uneducated on vaccinations.,mandatory vaccinations,2
It's so sad that vaccinations are such a controversial topic.,mandatory vaccinations,2
Let's all remember that vaccinations are important and necessary!,mandatory vaccinations,2
Vaccinations are one of the best ways to protect our children!,mandatory vaccinations,2
Vaccinations are an important part of keeping our families healthy!,mandatory vaccinations,2
Vaccinations are a vital part of protecting our community!,mandatory vaccinations,2
Vaccinations are an essential part of maintaining our health!,mandatory vaccinations,2
So excited to get my vaccinations! Can't wait to get poked and prodded!,mandatory vaccinations,2
Yay for vaccinations! Can't wait to get sick!,mandatory vaccinations,2
Vaccinations are great! I can't wait to get cancer!,mandatory vaccinations,2
I love getting vaccinations! They make me feel so alive!,mandatory vaccinations,2
I can't wait to get my vaccinations! I just love getting sick!,mandatory vaccinations,2
I'm not sure where I stand on the vaccination debate.,mandatory vaccinations,2
I think it's important to do your own research on the topic.,mandatory vaccinations,2
I'm not convinced that either side is right or wrong.,mandatory vaccinations,2
"It's a complex issue, and I'm still trying to make up my mind.",mandatory vaccinations,2
I'm not sure if I'm for or against mandatory vaccinations.,mandatory vaccinations,2
